oid_migrash,ms_gush,ms_migrash,k_yeud_rashi,t_yeud_rashi,Shape_Length,Shape_Area,Shape,ms_ezor,ms_ezor_shetach
11974,7068,11,1001,מגורים,100.403802,614.357698,Polygon,,
11975,7068,39,1001,מגורים,90.12838,505.786468,Polygon,,
11976,7068,178,1001,מגורים,77.302104,264.749889,Polygon,,
11977,6214,516,1008,תחבורה,33.065204,16.789301,Polygon,,
11978,7024,9,1001,מגורים,72.710115,321.438002,Polygon,,
11979,6130,2092,1001,מגורים,189.884668,2250.020289,Polygon,,
11980,7068,10,1001,מגורים,101.648523,624.007348,Polygon,,
11981,7068,297,1001,מגורים,95.496107,405.666205,Polygon,,
11982,7068,295,1001,מגורים,88.459446,483.778071,Polygon,,
11983,7068,67,1001,מגורים,89.54286,498.781349,Polygon,,
11984,7068,21,1001,מגורים,89.457017,499.669093,Polygon,,
11985,7068,14,1001,מגורים,89.235236,497.050987,Polygon,,
11986,7068,262,1001,מגורים,86.795358,464.860177,Polygon,,
11987,6926,96,1001,מגורים,63.847487,252.363138,Polygon,,
11988,7431,1,1001,מגורים,93.980931,535.328532,Polygon,,
11989,7229,39,1001,מגורים,101.459722,545.475326,Polygon,,
11990,6212,2296,1008,תחבורה,20.639601,15.821604,Polygon,,
11991,6978,35,1001,מגורים,78.831098,281.514323,Polygon,,
11992,6134,381,1001,מגורים,76.806185,268.00715,Polygon,,
11993,8999,44,1001,מגורים,78.085237,338.675933,Polygon,,
11994,7428,12,1001,מגורים,76.732059,342.657505,Polygon,,
11995,8994,75,1001,מגורים,74.691862,344.731825,Polygon,,
11996,8994,2007,1001,מגורים,213.030624,2662.528818,Polygon,,
11997,8994,2016,1008,תחבורה,175.46406,389.043133,Polygon,,
11998,8997,31,1001,מגורים,82.499221,368.322936,Polygon,,
11999,8997,2007,1008,תחבורה,42.616335,109.250125,Polygon,,
12000,6943,32,1002,מסחר,86.667755,449.557914,Polygon,,
12001,7022,18,1001,מגורים,112.989147,634.059244,Polygon,,
12002,7022,2153,1001,מגורים,15.670808,15.103992,Polygon,,
12003,7022,2158,1001,מגורים,160.640522,1173.12032,Polygon,,
12004,6956,100,1001,מגורים,75.168581,332.850944,Polygon,,
12005,6217,2161,1001,מגורים,93.254527,528.925436,Polygon,,
12006,9005,22,1001,מגורים,48.562133,147.880675,Polygon,,
12007,9005,32,1001,מגורים,66.333058,265.542537,Polygon,,
12008,9005,15,1001,מגורים,71.811364,293.682122,Polygon,,
12009,6217,2163,1001,מגורים,102.318941,601.318316,Polygon,,
12010,6932,2012,1001,מגורים,70.088366,197.409541,Polygon,,
12011,6135,195,1001,מגורים,106.72661,687.550864,Polygon,,
12012,6135,341,1001,מגורים,133.987838,972.572582,Polygon,,
12013,6135,184,1001,מגורים,88.264239,486.323645,Polygon,,
12014,7204,22,1005,מבנים ומוסדות ציבור,88.75426,497.16243,Polygon,,
12015,7204,66,1001,מגורים,72.780621,251.876806,Polygon,,
12016,6933,100,1001,מגורים,81.635485,388.10812,Polygon,,
12017,6933,80,1001,מגורים,73.700931,208.211956,Polygon,,
12018,6933,49,1001,מגורים,85.887167,457.870834,Polygon,,
12019,7430,7,1001,מגורים,69.403245,287.145951,Polygon,,
12020,6137,129,1001,מגורים,64.205054,248.288702,Polygon,,
12021,6137,139,1005,מבנים ומוסדות ציבור,152.884554,1389.679938,Polygon,,
12022,7437,46,1008,תחבורה,94.10457,248.267271,Polygon,,
12023,7437,31,1001,מגורים,127.435535,1000.19945,Polygon,,
12024,7436,25,1001,מגורים,77.396167,368.400577,Polygon,,
12025,7085,145,1001,מגורים,126.108613,987.64632,Polygon,,
12026,6933,23,1001,מגורים,81.265423,266.053338,Polygon,,
12027,6933,22,1001,מגורים,81.940851,284.426258,Polygon,,
12028,6930,41,1002,מסחר,57.351954,191.698914,Polygon,,
12029,6986,139,1001,מגורים,90.226566,504.810597,Polygon,,
12030,9008,10,1001,מגורים,54.335784,183.897555,Polygon,,
12031,9008,2005,1008,תחבורה,57.904538,169.20338,Polygon,,
12032,9008,40,1005,מבנים ומוסדות ציבור,69.522015,290.435789,Polygon,,
12033,9008,45,1006,שטחים פתוחים,51.451682,91.727976,Polygon,,
12034,9008,2002,1008,תחבורה,221.775399,894.548326,Polygon,,
12035,9008,54,1008,תחבורה,41.480333,107.010996,Polygon,,
12036,8999,2015,1006,שטחים פתוחים,83.165516,422.724151,Polygon,,
12037,9010,2454,1001,מגורים,161.431265,1149.568043,Polygon,,
12038,9010,2010,1005,מבנים ומוסדות ציבור,97.855391,481.700012,Polygon,,
12039,8999,2018,1001,מגורים,80.230425,406.234396,Polygon,,
12040,8999,2016,1001,מגורים,95.113117,563.461289,Polygon,,
12041,8999,42,1001,מגורים,66.219,262.145519,Polygon,,
12042,8997,14,1001,מגורים,63.833011,247.363141,Polygon,,
12043,8994,2026,1005,מבנים ומוסדות ציבור,53.676123,169.952865,Polygon,,
12044,8994,6,1001,מגורים,57.760067,206.998433,Polygon,,
12045,7022,65,1001,מגורים,88.140091,403.434819,Polygon,,
12046,9005,8,1001,מגורים,190.638854,1529.146916,Polygon,,
12047,7228,43,1009,שטח לתכנון בעתיד,76.020404,265.599195,Polygon,,
12048,9004,2038,1006,שטחים פתוחים,73.188947,312.680645,Polygon,,
12049,9004,23,1001,מגורים,48.14746,143.370006,Polygon,,
12050,9004,2061,1001,מגורים,155.231888,1644.162902,Polygon,,
12051,6133,1017,1001,מגורים,98.290729,426.068531,Polygon,,
12052,7080,2015,1006,שטחים פתוחים,132.303448,856.359216,Polygon,,
12053,6914,60,1001,מגורים,67.631272,269.921129,Polygon,,
12054,7033,13,1001,מגורים,56.930915,176.968551,Polygon,,
12055,7033,2126,1001,מגורים,61.732131,236.214286,Polygon,,
12056,7033,2134,1001,מגורים,59.489102,216.2075,Polygon,,
12057,7033,2136,1001,מגורים,27.824814,45.107962,Polygon,,
12058,7033,2148,1001,מגורים,42.756509,76.675735,Polygon,,
12059,7033,202,1001,מגורים,13.800165,7.35426,Polygon,,
12060,7031,19,1001,מגורים,79.478327,386.178726,Polygon,,
12061,7031,2022,1001,מגורים,121.10435,318.410801,Polygon,,
12062,7033,2168,1001,מגורים,147.165392,1092.412457,Polygon,,
12063,7033,81,1001,מגורים,66.54672,276.728668,Polygon,,
12064,7033,198,1001,מגורים,63.499008,100.822083,Polygon,,
12065,9013,3,1001,מגורים,52.834784,173.391746,Polygon,,
12066,9018,22,1001,מגורים,63.685438,165.181681,Polygon,,
12067,9018,2037,1005,מבנים ומוסדות ציבור,161.004406,1337.575175,Polygon,,
12068,9017,20,1001,מגורים,67.59886,284.231971,Polygon,,
12069,9017,19,1001,מגורים,61.924545,229.868871,Polygon,,
12070,9018,2012,1008,תחבורה,69.315288,275.912239,Polygon,,
12071,9018,60,1001,מגורים,50.52609,158.187453,Polygon,,
12072,9018,36,1001,מגורים,80.690088,310.842768,Polygon,,
12073,9018,15,1001,מגורים,52.902647,161.766215,Polygon,,
12074,6985,190,1001,מגורים,53.286885,127.025206,Polygon,,
12075,7049,9,1006,שטחים פתוחים,47.691029,132.676365,Polygon,,
12076,7047,49,1001,מגורים,52.822655,164.705492,Polygon,,
12077,7047,61,1001,מגורים,107.801192,682.274148,Polygon,,
12078,7078,211,1008,תחבורה,30.895466,14.433403,Polygon,,
12079,7047,2389,1008,תחבורה,106.777528,165.391395,Polygon,,
12080,7047,60,1001,מגורים,119.366432,872.60366,Polygon,,
12081,7047,101,1001,מגורים,72.359278,311.177509,Polygon,,
12082,7047,100,1001,מגורים,73.489786,314.668504,Polygon,,
12083,7047,2450,1001,מגורים,118.11399,766.132954,Polygon,,
12084,6922,30,1001,מגורים,66.453397,272.667818,Polygon,,
12085,7047,132,1001,מגורים,115.127955,842.004724,Polygon,,
12086,7047,88,1001,מגורים,113.722483,806.972746,Polygon,,
12087,7047,2459,1001,מגורים,160.9119,1501.392748,Polygon,,
12088,7001,80,1001,מגורים,46.704947,124.781728,Polygon,,
12089,7001,2090,1008,תחבורה,42.030352,95.08861,Polygon,,
12090,7001,2120,1008,תחבורה,97.388714,253.157971,Polygon,,
12091,7001,98,1004,מלונאות/תיירות,37.426301,84.853613,Polygon,,
12092,7001,110,1004,מלונאות/תיירות,60.630533,228.446237,Polygon,,
12093,8982,2076,1008,תחבורה,18.030747,10.179937,Polygon,,
12094,7078,167,1001,מגורים,50.557108,104.989921,Polygon,,
12095,6215,146,1001,מגורים,17.326401,18.637387,Polygon,,
12096,6215,147,1001,מגורים,13.595879,2.403608,Polygon,,
12097,8942,32,1002,מסחר,81.626604,330.556996,Polygon,,
12098,7069,2063,1009,שטח לתכנון בעתיד,33.571911,53.560218,Polygon,,
12099,7069,2133,1001,מגורים,63.226426,112.019907,Polygon,,
12100,6628,741,1001,מגורים,127.630507,820.304747,Polygon,,
12101,7022,2171,1001,מגורים,56.904275,199.334151,Polygon,,
12102,7022,2169,1001,מגורים,17.950588,15.70342,Polygon,,
12103,6956,131,1001,מגורים,80.650813,341.929479,Polygon,,
12104,6956,139,1001,מגורים,77.508939,338.099432,Polygon,,
12105,6956,169,1008,תחבורה,77.90314,44.631673,Polygon,,
12106,6956,115,1001,מגורים,77.187139,331.661474,Polygon,,
12107,7080,2062,1008,תחבורה,155.470226,191.023699,Polygon,,
12108,7080,21,1001,מגורים,111.199211,738.011901,Polygon,,
12109,7033,2158,1001,מגורים,16.596296,14.85849,Polygon,,
12110,7033,25,1001,מגורים,66.603407,136.75425,Polygon,,
12111,6628,2407,1008,תחבורה,167.563155,246.225348,Polygon,,
12112,9002,14,1006,שטחים פתוחים,87.018204,213.783243,Polygon,,
12113,9002,16,1008,תחבורה,85.941859,287.8353,Polygon,,
12114,7080,2131,1008,תחבורה,17.42315,18.494118,Polygon,,
12115,7072,2007,1008,תחבורה,93.332835,335.062881,Polygon,,
12116,7017,17,1001,מגורים,67.530343,296.321252,Polygon,,
12117,7073,30,1001,מגורים,91.500392,510.76344,Polygon,,
12118,7246,2003,1005,מבנים ומוסדות ציבור,298.324175,2586.269108,Polygon,,
12119,6957,283,1001,מגורים,74.055515,270.728427,Polygon,,
12120,6134,394,1001,מגורים,76.356168,265.679375,Polygon,,
12121,6134,388,1001,מגורים,76.144656,261.655705,Polygon,,
12122,6106,114,1001,מגורים,122.393815,813.062407,Polygon,,
12123,6130,2046,1008,תחבורה,47.76157,110.727678,Polygon,,
12124,7203,89,1001,מגורים,72.038924,246.966261,Polygon,,
12125,7203,104,1001,מגורים,71.869647,262.117601,Polygon,,
12126,6130,2134,1001,מגורים,115.818911,579.113916,Polygon,,
12127,6152,2028,1008,תחבורה,7.417756,2.05954,Polygon,,
12128,6134,396,1001,מגורים,75.921058,258.698874,Polygon,,
12129,6134,384,1001,מגורים,75.865207,258.4989,Polygon,,
12130,6963,5,1002,מסחר,80.761264,300.584012,Polygon,,
12131,6135,2373,1008,תחבורה,248.298077,1201.722051,Polygon,,
12132,6978,2038,1008,תחבורה,279.771634,1054.262442,Polygon,,
12133,6978,2164,1008,תחבורה,269.127009,1006.891136,Polygon,,
12134,6978,2099,1002,מסחר,73.559061,337.492872,Polygon,,
12135,6978,2093,1001,מגורים,88.920694,491.345754,Polygon,,
12136,6978,2022,1001,מגורים,100.955562,610.851761,Polygon,,
