זיהוי ממג מגרש *,מספר גוש *,מספר מגרש *,קוד ייעוד ראשי,תיאור ייעוד ראשי,שטח רשום,שטח גרפי,Shape_Length,Shape_Area,צורה *
39791,6628,95,1001,מגורים,502,490.82,91.804053,490.823227,Polygon
39792,6151,2613,1001,מגורים,1690.46,1665.82,177.023531,1665.815393,Polygon
39793,6132,375,1001,מגורים,4103,4119.46,280.039869,4119.45774,Polygon
39794,7245,39,1003,תעסוקה,1920,1878.57,185.111803,1878.574873,Polygon
39795,8988,28,1002,מסחר,198,198.36,56.603467,198.360623,Polygon
39796,8988,23,1002,מסחר,190,190,55.232302,189.996052,Polygon
39797,6630,742,1001,מגורים,3624,3645.04,327.575197,3645.035722,Polygon
39798,6630,761,1001,מגורים,696,699.57,105.965383,699.574073,Polygon
39799,6630,746,1001,מגורים,3911,3933.17,317.263636,3933.171971,Polygon
39800,6974,2105,1001,מגורים,531.51,545.04,93.503837,545.042756,Polygon
39801,7444,13,1002,מסחר,414,413.46,85.602801,413.45974,Polygon
39802,7115,2027,1008,תחבורה,391.66,378.47,283.845924,378.467854,Polygon
39803,6647,2043,1006,שטחים פתוחים,12208.79,12286.6,584.673159,12286.59624,Polygon
39804,7230,2012,1008,תחבורה,59.12,57.88,46.674144,57.877166,Polygon
39805,7107,2034,1002,מסחר,402.67,384.79,84.017993,384.794318,Polygon
39806,7107,2020,1002,מסחר,389.68,394.56,82.737564,394.559685,Polygon
39807,6111,231,1006,שטחים פתוחים,441,449.77,117.630018,449.770738,Polygon
39808,7084,5,1002,מסחר,224,220.05,60.519473,220.048348,Polygon
39809,7017,5,1001,מגורים,139,135.04,68.545569,135.04147,Polygon
39810,7083,114,1002,מסחר,111,104.41,45.058913,104.411837,Polygon
39811,7069,111,1001,מגורים,126,125.53,49.823906,125.529908,Polygon
39812,7083,70,1002,מסחר,711,721.07,115.093541,721.070218,Polygon
39813,7083,72,1002,מסחר,328,311.04,83.705921,311.042761,Polygon
39814,7083,89,1002,מסחר,91,85.63,46.462352,85.633526,Polygon
39815,7083,2065,1008,תחבורה,109.34,109.26,42.713024,109.26178,Polygon
39816,6630,3007,1008,תחבורה,161.46,151.61,54.945565,151.61449,Polygon
39817,7229,45,1001,מגורים,354,360.21,77.267497,360.206255,Polygon
39818,6630,2045,1006,שטחים פתוחים,116.11,113.69,78.564492,113.692061,Polygon
39819,6630,3010,1008,תחבורה,589.53,589.01,104.524431,589.00528,Polygon
39820,6630,811,1001,מגורים,743,712.48,106.969378,712.477667,Polygon
39821,7051,2,1003,תעסוקה,436,446.55,85.28297,446.547946,Polygon
